Date,Silver_10,Gold_10,Silver_30,Gold_30,Silver_100,Gold_100,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,Target
2021-04-01,-5.265756333577395,-0.3290584997429913,-7.910773811427411,-2.6446387599187293,-0.9375871656674513,-11.247624702417147,42.21257761941197,-0.4863734806413724,-0.10445615572207517,-0.38191732491929725,21.806356687257107,16.888020788468612,1.0
2021-04-05,-5.815454660207275,-0.8269222586526462,-9.133275526832255,-2.748059887729411,-3.443029803159181,-11.449522803544978,40.66696694430938,-0.4797585308605079,-0.07827296475296852,-0.4014855661075394,30.14943745000802,21.713373321922564,1.0
2021-04-06,-2.0550846688392603,0.2129100626030043,-10.223267710706228,-3.6087869006463706,6.447120378625422,-6.027409568041555,46.20441256010725,-0.4332909278673931,-0.025444289407882903,-0.4078466384595102,39.181270459996874,30.379021532420694,1.0
2021-04-07,0.13094856229059848,0.892910352528201,-8.860077112382003,-3.5635140743807607,3.2193433839358887,-7.214463424697739,46.456110210664725,-0.3902716914824964,0.014059957581611049,-0.40433164906410746,43.6877047807464,37.672804230250456,1.0
2021-04-08,1.4602596222297808,1.3791923410090379,-8.213375733160444,-2.2044074286212476,5.434830824755468,-5.583914928267371,50.450742342645825,-0.32531616680467934,0.06321238580754251,-0.38852855261222186,56.29398774278368,46.38765432784234,1.0
2021-04-09,1.1549894982244477,1.066729906291982,-8.41624770950107,-1.7527037397447764,4.203375339498621,-6.904834371652413,47.51917847178057,-0.2912989297990656,0.07778369825052506,-0.36908262804959063,62.634743843506534,54.205478789012226,1.0
2021-04-12,-0.9524885305950378,-0.05773005589357487,-5.866978870201178,0.1793863566768704,0.37965935504824916,-8.193244100366307,42.768187055349685,-0.2978632296030952,0.056975518757196364,-0.35483874836029156,62.632573551474785,60.52043504592169,1.0
2021-04-13,2.7073992133063522,1.991704694363269,-4.615902622502434,1.3759042770319303,2.5457941445488044,-7.4762938592548025,49.46822656191895,-0.2546203595147283,0.08017471107645063,-0.3347950705911789,69.83047290834651,65.03259676777596,1.0
2021-04-14,5.779192748959759,3.02868336959293,-4.972070662399794,0.10386295386776102,3.572150000367766,-7.938443915411914,50.55146408083662,-0.2100213317384636,0.09981899108217224,-0.30984032282063584,79.49551654373117,70.65285433451751,1.0
2021-04-15,5.869393336797374,3.010851564698047,-1.521421145134271,2.9207703701848127,6.2333678820546154,-5.769947989641714,55.20504561697097,-0.13750618205703802,0.13786731261087826,-0.2753734946679163,95.71900935203264,81.68166626803679,1.0
